CourseTitle,Description,Availability,Cost
"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics","Bioethics provides an overview of the legal, medical, and ethical questions around reproduction and human genetics and how to apply legal reasoning to these questions. 

 This law course includes...",In Session,Free
Communicating Corporate Social Responsibility (CSR),"Driven by global crises in financial, economic, and governance systems, companies all over the world devote massive resources to their corporate social responsibility (CSR). But what is CSR? What d...",On demand,Free
Astrophysics: The Violent Universe,"Interested in exploring the deadliest and most mysterious parts of our universe? Or, investigating black holes, which warp the very fabric of space-time around them? 

 We will look at what we kn...",In Session,Free
Humanity and Nature in Chinese Thought | 中国哲学思想中的人类与自然观,"We make ethical or behaviour guiding right / wrong judgments all the time but have you ever wondered where Ethics comes from, what it is about and why it is important? This course provides an intro...",On demand,Free
"Introduction to Philosophy: God, Knowledge and Consciousness","This philosophy course has two goals. The first goal is to introduce you to the things that philosophers think about. We will look at some perennial philosophical problems: 

 
	 Is there a God?...",On demand,Free
Hubungan Etnik (Taylor's University),"Malaysia merupakan sebuah negara yang memiliki pelbagai etnik dan perpaduan adalah sangat penting untuk kestabilan politik, sosial dan ekonomi. Setiap warga Malaysia harus memiliki sikap toleransi ...",On demand,Free
United States Health Policy,"Many Americans complain that they do not understand the U.S. health reform law called the Affordable Care Act (or Obamacare). They are right, and the main reason is because most Americans do not un...",On demand,Free
Greatest Unsolved Mysteries of the Universe,"Despite spectacular recent progress, there is still a lot we don't know about our universe. We don't know why the Big Bang happened. We don't know what most of the universe is made of. We don't kno...",In Session,Free
Calculus 1A: Differentiation,How does the final velocity on a zip line change when the starting point is raised or lowered by a matter of centimeters?&nbsp; What is the accuracy of a GPS position measurement?&nbsp; How fast sh...,On demand,Free
Philosophy: Minds and Machines,"What is the relationship between the mind and the body? Can computers think? Do we perceive reality as it is? Can there be a science of consciousness? 

 This course explores these questions and ...",On demand,Free
Business Communications,"This course, part of the Business Fundamentals MicroMasters program, will sharpen your writing, presentation, and interpersonal communication skills to help you succeed in the business world. You w...",Upcoming,Free
Mechanics: Kinematics and Dynamics,"Mechanics is the study of the physics of motion and how it relates to applied forces. It lays the foundation of understanding the world around us through the how and why of motion. 

 This physic...",In Session,Free
Energy Within Environmental Constraints,"If you would like to be notified when Version 2 of Energy becomes available, please  fill out this notification form . Version 1 is currently in ""archive"" mode, and certificates are no longer avail...",On demand,Free
Supply Chain Management: A Decision-Making Framework,"In this business and management course, you’ll learn how make effective supply chain decisions that take into consideration all aspects of your business. 

 The course will take a helicopter view...",Upcoming,Free
Cyber Security Basics: A Hands-on Approach,"Are you tired of hearing that your computer has a virus? Or that your email account has been hacked? Now, is the time for you to protect yourself by understanding the basics of cyber security. 

...",On demand,Free
Positive Behavior Support for Young Children,"This course is offered in an experimental format. Students are welcome to audit the course, and participate in all course activities. Certificates will not be issued.  

 Many early childhood edu...",On demand,Free
Machine Learning for Data Science,"Do you want to build systems that learn from experience? Or exploit data to create simple predictive models of the world? 
 
In this course, part of the Data Science MicroMasters program, you wil...",Upcoming,Free
Introduction to Biology - The Secret of Life,Read fully to understand the verified-certificate option.  Join Professor Eric Lander and the MITx Biology team in this unique introductory biology learning experience. All 7.00x course materials a...,In Session,Free
Management Accounting for Decision Making,"Across organizations, managers are expected to have sound knowledge of finance and accounting. As part of their job, managers use large volumes of information produced by accounting systems to make...",On demand,Free
Circuits and Electronics 1: Basic Circuit Analysis,"Want to learn about circuits and electronics, but unsure where to begin? Wondering how to make computers run faster or your mobile phone battery last longer? This free circuit course taught by edX ...",In Session,Free
Readings in Global Health,"How do health professionals predict global patterns of disease? In the case of an epidemic, disaster, or armed conflict, how do experts determine what health care interventions to use? Is it possib...",On demand,Free
Principles of Biochemistry,Principles of Biochemistry integrates an introduction to the structure of macromolecules and a biochemical approach to cellular function. Topics addressing protein function will include enzyme kine...,In Session,Free
Stand up for Science: Practical Approaches to Discussing Science that Matters,"Everyone - non-scientists and scientists alike - has some form of expertise, but communicating across a gap in knowledge or experience is challenging. In this Teach-Out, we address this challenge b...",On demand,Free
Linear Algebra - Foundations to Frontiers,"Linear Algebra: Foundations to Frontiers (LAFF) is packed full of challenging, rewarding material that is essential for mathematicians, engineers, scientists, and anyone working with large datasets...",On demand,Free
Foundations of Data Analysis - Part 1: Statistics Using R,"In this first part of a two part course, we’ll walk through the basics of statistical thinking – starting with an interesting question. Then, we’ll learn the correct statistical tool to help answer...",On demand,Free
Communication Acoustics,"In this engineering course, we will cover all aspects of communication acoustics, which is the way sounds travels from a source, through a channel and finally to a receiver. We will look at the dif...",On demand,Free
Python Data Science Toolbox (Part 2),"In this second course in the Python Data Science Toolbox, you'll continue to build your Python Data Science skills. First you'll enter the wonderful world of iterators, objects that you have alread...",On demand,$29/mo
Introductory AP® Microeconomics,"Want to learn how individuals and businesses make the decisions that drive our economy - and use those skills to ace the Microeconomics AP®&nbsp;exam? This is the course for you! 

 This economic...",In Session,Free
Sustainable Urban Development,"Did you know that cities take up less than 3% of the earth’s land surface, but more than 50% of the world’s population live in them? And, cities generate more than 70% of the global emissions? Larg...",In Session,Free
Introduction to DevOps: Transforming and Improving Operations,"""Introduction to DevOps: Transforming and Improving Operations” aims to help you develop a good working knowledge of the concept of DevOps, covering the foundation, principles, and practices of Dev...",In Session,Free
Space Mission Design and Operations,"Space exploration is truly fascinating. From Sputnik to the Apollo, followed by the assembly and exploitation of the International Space Station and the successful operation of the Hubble Space Tel...",On demand,Free
Data Structures and Software Design,"Knowing how to code is only part of the skills needed to become a professional software developer. 

 This course, part of the CS Essentials for Software Development Professional Certificate prog...",In Session,Free
C# Basics,In this course you will gain all the knowledge you will need to build an interactive command line program in C#. No prior programming experience is required. You'll create a program that keeps a ru...,On demand,$25/mo
Java Basics,In this course you will gain all the knowledge you will need to build an interactive command line program in Java.  No prior programming experience is required.  You will create an interactive game...,On demand,$25/mo
Mindfulness for Wellbeing and Peak Performance,"Learn mindfulness techniques to reduce stress and improve performance 

 Stressed by the pace of modern life? Mindfulness might be the answer.  Research shows that when you’re not deliberately payi...",Upcoming,Free
Introduction to Probability - The Science of Uncertainty,"The world is full of uncertainty: accidents, storms, unruly financial markets, noisy communications. The world is also full of data. Probabilistic modeling and the related field of statistical infe...",On demand,Free
Existential Well-being Counseling: A Person-centered Experiential Approach,"This humanities course offers you the opportunity to explore what really matters in life and teaches you how to nurture your well-being and enhance the well-being of others. 

 We will address th...",On demand,Free
sec.edu - Security Engineering - Applied Cyber Security,"UNSW in proud partnership with the CBA are releasing a sequence of public courses in cyber security, under the banner of the SecEDU  'Security Engineering Capability' program.   
 The first course ...",On demand,Free
Foundations of Computer Science for Teachers,"Thinking about teaching Computer Science, or incorporating CS into a subject you already teach? CS skills are fundamental to student success and you can teach it! 

 This course is intended for p...",On demand,Free
The Ancient Greek Hero in 24 Hours,"Explore what it means to be human today by studying what it meant to be a hero in ancient Greek times. 
 
In this introduction to ancient Greek culture and literature, learners will experience, i...",On demand,Free
The Science of Gastronomy,"This course introduces a number of basic scientific principles underpinning the methodology of cooking, food preparation and the enjoyment of food. All topics covered have a strong basis in biology...",Upcoming,Free
Chinese Thought: Ancient Wisdom Meets Modern Science - Part 2,"This course is designed to give students a thorough introduction to early (pre-221 BCE) Chinese thought, its contemporary implications, and the role of religion in human well-being. Important theme...",Upcoming,Free
4G Network Essentials,"4G is the cutting-edge network technology that links millions of smartphones to the internet. But how does it actually work? 

 Ideal for network engineers, sales engineers, application developer...",On demand,Free
Computation Structures - Part 1: Digital Circuits,"Digital systems are at the heart of the information age in which we live, allowing us to store, communicate and manipulate information quickly and reliably. This computer science course is a bottom...",On demand,Free
Ecodesign for Cities and Suburbs,"Too often modern cities and suburbs are disorganized places where most new development makes daily life less pleasant, creates more traffic congestion, and contributes to climate change. This trend...",In Session,Free
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),"What you’ll achieve:
In this project-centered course* you will build a modern computer system, from the ground up. We’ll divide this fascinating journey into six hands-on projects that will take yo...",Upcoming,Free
Reconciliation Through Indigenous Education,"This course will help you envision how Indigenous histories, perspectives, worldviews, and approaches to learning can be made part of the work we do in classrooms, organizations, communities, and o...",Upcoming,Free
Lessons from Ebola: Preventing the Next Pandemic,"Like no other event in recent history, the 2014 Ebola outbreak has made clear the fragility of existing health systems. While responding to the current epidemic is critical, we also have an opportu...",On demand,Free
Quantum Mechanics for Everyone,Quantum Mechanics for Everyone is a four-week long MOOC that teaches the basic ideas of quantum mechanics with a method that requires no complicated math beyond taking square roots (and you can use...,In Session,Free
Justice,"Taught by lauded Harvard professor Michael Sandel, Justice explores critical analysis of classical and contemporary theories of justice, including discussion of present-day applications. Topics inc...",In Session,Free
"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics","Bioethics provides an overview of the legal, medical, and ethical questions around reproduction and human genetics and how to apply legal reasoning to these questions. 

 This law course includes...",In Session,Free
Communicating Corporate Social Responsibility (CSR),"Driven by global crises in financial, economic, and governance systems, companies all over the world devote massive resources to their corporate social responsibility (CSR). But what is CSR? What d...",On demand,Free
Astrophysics: The Violent Universe,"Interested in exploring the deadliest and most mysterious parts of our universe? Or, investigating black holes, which warp the very fabric of space-time around them? 

 We will look at what we kn...",In Session,Free
Humanity and Nature in Chinese Thought | 中国哲学思想中的人类与自然观,"We make ethical or behaviour guiding right / wrong judgments all the time but have you ever wondered where Ethics comes from, what it is about and why it is important? This course provides an intro...",On demand,Free
"Introduction to Philosophy: God, Knowledge and Consciousness","This philosophy course has two goals. The first goal is to introduce you to the things that philosophers think about. We will look at some perennial philosophical problems: 

 
	 Is there a God?...",On demand,Free
Hubungan Etnik (Taylor's University),"Malaysia merupakan sebuah negara yang memiliki pelbagai etnik dan perpaduan adalah sangat penting untuk kestabilan politik, sosial dan ekonomi. Setiap warga Malaysia harus memiliki sikap toleransi ...",On demand,Free
United States Health Policy,"Many Americans complain that they do not understand the U.S. health reform law called the Affordable Care Act (or Obamacare). They are right, and the main reason is because most Americans do not un...",On demand,Free
Greatest Unsolved Mysteries of the Universe,"Despite spectacular recent progress, there is still a lot we don't know about our universe. We don't know why the Big Bang happened. We don't know what most of the universe is made of. We don't kno...",In Session,Free
Calculus 1A: Differentiation,How does the final velocity on a zip line change when the starting point is raised or lowered by a matter of centimeters?&nbsp; What is the accuracy of a GPS position measurement?&nbsp; How fast sh...,On demand,Free
Philosophy: Minds and Machines,"What is the relationship between the mind and the body? Can computers think? Do we perceive reality as it is? Can there be a science of consciousness? 

 This course explores these questions and ...",On demand,Free
Business Communications,"This course, part of the Business Fundamentals MicroMasters program, will sharpen your writing, presentation, and interpersonal communication skills to help you succeed in the business world. You w...",Upcoming,Free
Mechanics: Kinematics and Dynamics,"Mechanics is the study of the physics of motion and how it relates to applied forces. It lays the foundation of understanding the world around us through the how and why of motion. 

 This physic...",In Session,Free
Energy Within Environmental Constraints,"If you would like to be notified when Version 2 of Energy becomes available, please  fill out this notification form . Version 1 is currently in ""archive"" mode, and certificates are no longer avail...",On demand,Free
Supply Chain Management: A Decision-Making Framework,"In this business and management course, you’ll learn how make effective supply chain decisions that take into consideration all aspects of your business. 

 The course will take a helicopter view...",Upcoming,Free
Cyber Security Basics: A Hands-on Approach,"Are you tired of hearing that your computer has a virus? Or that your email account has been hacked? Now, is the time for you to protect yourself by understanding the basics of cyber security. 

...",On demand,Free
Positive Behavior Support for Young Children,"This course is offered in an experimental format. Students are welcome to audit the course, and participate in all course activities. Certificates will not be issued.  

 Many early childhood edu...",On demand,Free
Machine Learning for Data Science,"Do you want to build systems that learn from experience? Or exploit data to create simple predictive models of the world? 
 
In this course, part of the Data Science MicroMasters program, you wil...",Upcoming,Free
Introduction to Biology - The Secret of Life,Read fully to understand the verified-certificate option.  Join Professor Eric Lander and the MITx Biology team in this unique introductory biology learning experience. All 7.00x course materials a...,In Session,Free
Management Accounting for Decision Making,"Across organizations, managers are expected to have sound knowledge of finance and accounting. As part of their job, managers use large volumes of information produced by accounting systems to make...",On demand,Free
Circuits and Electronics 1: Basic Circuit Analysis,"Want to learn about circuits and electronics, but unsure where to begin? Wondering how to make computers run faster or your mobile phone battery last longer? This free circuit course taught by edX ...",In Session,Free
Readings in Global Health,"How do health professionals predict global patterns of disease? In the case of an epidemic, disaster, or armed conflict, how do experts determine what health care interventions to use? Is it possib...",On demand,Free
Principles of Biochemistry,Principles of Biochemistry integrates an introduction to the structure of macromolecules and a biochemical approach to cellular function. Topics addressing protein function will include enzyme kine...,In Session,Free
Stand up for Science: Practical Approaches to Discussing Science that Matters,"Everyone - non-scientists and scientists alike - has some form of expertise, but communicating across a gap in knowledge or experience is challenging. In this Teach-Out, we address this challenge b...",On demand,Free
Linear Algebra - Foundations to Frontiers,"Linear Algebra: Foundations to Frontiers (LAFF) is packed full of challenging, rewarding material that is essential for mathematicians, engineers, scientists, and anyone working with large datasets...",On demand,Free
Foundations of Data Analysis - Part 1: Statistics Using R,"In this first part of a two part course, we’ll walk through the basics of statistical thinking – starting with an interesting question. Then, we’ll learn the correct statistical tool to help answer...",On demand,Free
Communication Acoustics,"In this engineering course, we will cover all aspects of communication acoustics, which is the way sounds travels from a source, through a channel and finally to a receiver. We will look at the dif...",On demand,Free
Python Data Science Toolbox (Part 2),"In this second course in the Python Data Science Toolbox, you'll continue to build your Python Data Science skills. First you'll enter the wonderful world of iterators, objects that you have alread...",On demand,$29/mo
Introductory AP® Microeconomics,"Want to learn how individuals and businesses make the decisions that drive our economy - and use those skills to ace the Microeconomics AP®&nbsp;exam? This is the course for you! 

 This economic...",In Session,Free
Sustainable Urban Development,"Did you know that cities take up less than 3% of the earth’s land surface, but more than 50% of the world’s population live in them? And, cities generate more than 70% of the global emissions? Larg...",In Session,Free
Introduction to DevOps: Transforming and Improving Operations,"""Introduction to DevOps: Transforming and Improving Operations” aims to help you develop a good working knowledge of the concept of DevOps, covering the foundation, principles, and practices of Dev...",In Session,Free
Space Mission Design and Operations,"Space exploration is truly fascinating. From Sputnik to the Apollo, followed by the assembly and exploitation of the International Space Station and the successful operation of the Hubble Space Tel...",On demand,Free
Data Structures and Software Design,"Knowing how to code is only part of the skills needed to become a professional software developer. 

 This course, part of the CS Essentials for Software Development Professional Certificate prog...",In Session,Free
American Government,"American politics has all the aspects of drama, but it has real meaning for people’s everyday lives. 

 What are the foundations of the U.S. political system? How do leading institutions such as ...",In Session,Free
PH556X: Practical Improvement Science in Health Care: A Roadmap for Getting Results,"Developed through a collaboration between HarvardX and the Institute for Healthcare Improvement,&nbsp; PH 556x: Practical Improvement Science in Health Care: A roadmap for getting results &nbsp;wil...",On demand,Free
A History of Violence: From Middle Ages to Modern Times,"What is violence? What do we mean by it? Is it innate or learned? Are we becoming more or less violent? 
 
These are all questions that we will ask throughout this course. A History of Violence w...",Upcoming,Free
Computer Networking - Local Area Networks and the OSI Model,The free online course Computer Networking - Local Area Networks and the OSI Model introduces the key devices found on local area networks (LANs) and the structure of different types of LANs. It al...,On demand,Free
International Humanitarian Law,"Armed conflicts have always existed all over the world. Unfortunately, recent events have shown that this phenomenon is becoming increasingly complex, especially with respect to certain legal issue...",Upcoming,Free
Improving Global Health: Focusing on Quality and Safety,"We are at a critical inflection point in global health. We have seen improvements in access to care, but struggle to improve human health. A key component of this equation is quality of care. 

 ...",On demand,Free
HTML5 Coding Essentials and Best Practices,"HTML5 is the standard language of the Web, developed by W3C. For application developers and industry, HTML5 represents a set of features that people will be able to rely on for years to come. HTML5...",In Session,Free
"Introduction to Mechanics, Part 1",This course is an introduction to mechanics and follows a standard first-semester university physics course. You will learn fundamental mechanics concepts and mathematical problem solving required ...,Upcoming,Free
Python for Data Science,"In the information age, data is all around us. Within this data are answers to compelling questions across many societal domains (politics, business, science, etc.).&nbsp;But if you had access to a...",In Session,Free
Shakespeare: On the Page and in Performance,Shakespeare wrote for a popular audience and was immensely successful. Shakespeare is also rightly regarded as one of the greatest playwrights the world has known. This course will try to understan...,On demand,Free
"Question Reality! Science, philosophy, and the search for meaning","Clique aqui​  para a versão em português.  

 How much can we know of the physical world? Can we know everything? Or are there fundamental limits to how much we can explain? If there are limits, ...",On demand,Free
Paradigms of Computer Programming – Fundamentals,"Louv1.1x and  Louv1.2x  together give an introduction to all major programming concepts, techniques, and paradigms in a unified framework. We cover the three main programming paradigms: functional,...",Upcoming,Free
Introduction to Public Speaking,"This course is being offered in an experimental format. Students are welcome to audit the course, and participate in all course activities.  Certificates will not be issued.   

 This course is d...",On demand,Free
Underactuated Robotics,"Robots today move far too conservatively, using control systems that attempt to maintain full control authority at all times. Humans and animals move much more aggressively by routinely executing m...",On demand,Free
Introduction to Data Analysis using Excel,The ability to analyze data is a powerful skill that helps you make better decisions. Microsoft Excel is one of the top tools for data analysis and the built-in pivot tables are arguably the most p...,Upcoming,Free
Introduction to Bootstrap – A Tutorial,"This course is part of the&nbsp; Microsoft Professional Program Certificate in Front-End Web Development . 

 Bootstrap is an open source project originally created by Twitter to enable creation ...",Upcoming,Free
Basic Spanish 1: Getting Started,This 7-week Spanish language course is aimed at students who would like to learn conversational Spanish starting with Spanish basics. The course introduces everyday language and includes activities...,In Session,Free
Learn to Program Using Python,"Interested in learning a computer programming language but unsure of how and where to begin? This course,   Learn to Program Using Python  , is a great place to start. 

 Python is an easy and fu...",On demand,Free
Foundations of Development Policy: Advanced Development Economics,"This course is part of the MITx MicroMasters program in Data, Economics, and Development Policy (DEDP). To audit this course, click “Enroll Now” in the green button at the top of this page.   

 ...",Upcoming,Free
Industry 4.0: How to Revolutionize your Business,"We have witnessed the power of mechanization in the early nineteen century, automation in the seventies, information and the internet in the last decades. &nbsp;But now, the adaptation of connected...",Upcoming,Free
Introduction to Marketing: Tools to Set Enterprises Apart,"Want to learn how successful businesses use marketing to increase revenue, share and profitability?&nbsp; 

 In an increasingly competitive market, marketing skills are vital to help organization...",Upcoming,Free
Science & Cooking: From Haute Cuisine to Soft Matter Science (part 2),"In Part 2 of Science and Cooking (Part 1 is available  here ), we will be visited by more world-famous chefs who use a number of different styles and techniques in their cooking.&nbsp; Each chef wi...",In Session,Free
Portfolio Management & Governance,"What is a PMO, and how does it work? 

 This course focuses on the Project Management Office (PMO) and the governance techniques used to monitor and control the delivery of projects and programs....",In Session,Free
Contract Law: From Trust to Promise to Contract,"Learn about contracts from Harvard Law Professor Charles Fried, one of the world’s leading authorities on contract law. Contracts are promises that the law will enforce. But when will the law refus...",In Session,Free
The Computing Technology Inside Your Smartphone,"We use our smartphones to communicate, to organize our lives, to find information, and to entertain ourselves. All of this is possible because a smartphone contains a powerful computer processor, w...",On demand,Free
Introduction to the Electrical Trade,Modern-day life is heavily dependent on electric power. Our technologically driven world comes to a standstill when there is any disruption to this form of energy. In order for our everyday lives t...,On demand,Free
Accounting for Decision-Making,"In order for a manager to effectively perform their role they must have an understanding of accounting information, as accounting systems generate information that is used by both internal and exte...",In Session,Free
Introduction to Marketing,"Marketing is a crucial function in all businesses and organizations, and is becoming increasingly crucial to success in our modern global economy. This course, regardless of your industry backgroun...",Upcoming,Free
Get Beyond Work-Life Balance (Inclusive Leadership Training),Do you ever struggle to manage work and the rest of your life? You are not alone. Men and women all over the world are trying to figure out the impossible work-life “balance” and instead achieve su...,In Session,Free
Forensic Engineering: Learning from Failures,"What do collapsed buildings, infected hospital patients, and crashed airplanes have in common? If you know the causes of these events and conditions, they can all be prevented. 

 In this course,...",Upcoming,Free
Data Science: R Basics,"The unprecedented advance in digital technology during the second half of the 20th century has produced a measurement revolution that is transforming the world.&nbsp;However, interpreting informati...",Upcoming,Free
"Programming Languages, Part C","[As described below, this is Part C of a 3-part course.  Participants should complete Parts A and B first -- Part C ""dives right in"" and refers often to material from Part A and Part B.]

This cour...",Upcoming,Free
Health Literacy and Communication for Health Professionals,"In the United States, two-thirds of the population read at an eighth-grade level or below. When it comes to health information, most Americans have the ability to read and write at the fifth-grade ...",Upcoming,Free
Sharpened Visions: A Poetry Workshop,Why just write poems when you can write better ones? This course is built on the notion that the most exciting writing begins after the first draft. It is specifically for folks who believe that wr...,Upcoming,Free
Grammar and Punctuation,"Course 1: Grammar and Punctuation

Do you need to review English grammar? Have you forgotten the grammar you once studied? If so, this course is perfect for you.

The first course in this specializ...",Upcoming,Free
Music as Biology: What We Like to Hear and Why,"The course will explore the tone combinations that humans consider consonant or dissonant, the scales we use, and the emotions music elicits, all of which provide a rich set of data for exploring m...",Upcoming,Free
Mastering Jobs-to-be-Done Interviews,"Add Jobs-to-be-Done to Your Bag of Tricks   You'll learn using actual interviews that we've conducted with consumers who have bought things like laptop bags, mattresses, and bottles of wine. After ...",On demand,$300
Supply Chain Fundamentals,"This Supply Chain Fundamentals course is part of the  MITx MicroMasters Credential in Supply Chain Management , offered by #1 ranked SCM Master's program at the Massachusetts Institute of Technolog...",Upcoming,Free
Programming in Scratch,"“Although many of the programs designed to teach kids to code are very simplistic, many of them, like Scratch, are suitable for all ages. It doesn't matter how old you are…Get started with the basi...",On demand,Free
Launching Innovation in Schools,"Every great teacher and every great school constantly work towards creating better learning conditions for students. Just as we hope our students become lifelong learners, we as educators should be...",Upcoming,Free
Paradigms of Computer Programming – Abstraction and Concurrency,"Louv1.2x and its predecessor&nbsp; Louv1.1x &nbsp;together&nbsp;give an introduction to all major programming concepts, techniques, and paradigms in a unified framework. We cover the three main pro...",Upcoming,Free
Introduction to Managerial Economics,"A successful manager makes good decisions. To make good decisions, you need to understand the market forces that impact your business and personal life. This is true for managers in large multinati...",In Session,Free
Urban Design for the Public Good: Dutch Urbanism,"Are you an urban planner, designer, policy maker or involved or interested in the creation of good living environments? 

 This course will broaden your scope and diversify your take on the field...",On demand,Free
AP® Macroeconomics,"Learn key concepts and AP® Macroeconomics material from top AP instructors, including many of the same high school teachers and college faculty who helped design the AP curriculum in partnership wi...",In Session,Free
Programming for Everybody (Python),This course aims to teach everyone to learn the basics of programming computers using Python. The course has no pre-requisites and avoids all but the simplest mathematics. Anyone with moderate comp...,On demand,Free
Cell Biology: Mitochondria,"The cell is a powerful case study to help us explore the functional logic of living systems. All organisms, from single-celled algae to complex multicellular organisms like us, are made up of cells...",On demand,Free
Design: Creation of Artifacts in Society,"This is a course aimed at making you a better designer. The course marries theory and practice, as both are valuable in improving design performance. Lectures and readings will lay out the fundamen...",Upcoming,Free
Computer Science 101,Introduction to Computer Science for a zero-prior-experience audience. Play with little phrases of code to understand what computers are all about.,TBA,Free
Global History Lab,"In this global history course, you will learn not just by reading and watching lectures, but also by analyzing historical documents and applying your knowledge. The core of this course is a series ...",In Session,Free
Introduction to Control System Design - A First Look,"Have you wondered about the design strategies behind temperature controllers, quad-copters, or self-balancing scooters? Are you interested in robotics, and have heard of, or tried, “line-following""...",On demand,Free
"Responsible Innovation: Ethics, Safety and Technology","There is no doubt that technological innovation is one of the key elements driving human progress. However, new technologies raise ethical questions, have serious implications for society and the e...",On demand,Free
The Opioid Crisis in America,"Opioids are part of a drug class that includes the illegal drug heroin as well as powerful pain relievers, such as oxycodone, hydrocodone, codeine, morphine, fentanyl, and many others. In 2015 more...",In Session,Free
Introduction to Linear Models and Matrix Algebra,"Matrix Algebra underlies many of the current tools for experimental design and the analysis of high-dimensional data. In this introductory data analysis course, we will use matrix algebra to repres...",In Session,Free
AP® Spanish Language and Culture,"Do you want to take the AP Spanish exam, but your school doesn’t offer a Spanish language course? Are you looking for a way to get more practice with and exposure to the AP Spanish exam in general?...",On demand,Free
Open Government,"How can governments become more open and transparent, while simultaneously dealing with various challenges, such as data sensitivity? How can open government data be&nbsp;made available&nbsp;to imp...",On demand,Free
Introduction to Data Storage and Management Technologies,"Technology trends such as shared-service infrastructures, cloud computing, Big Data, and the Internet of Things are all changing the way data is processed, stored, and used in enterprises. There is...",On demand,Free
Policy Analysis Using Interrupted Time Series,Interrupted time series analysis and regression discontinuity designs are two of the most rigorous ways to evaluate policies with routinely collected data. ITSx comprehensively introduces analysts ...,In Session,Free
Hacking PostgreSQL: Data Access Methods,"This course is about data storage and data processing technologies with examples from PostgreSQL. It is geared toward database core developers, operation systems developers, system architects, and ...",Upcoming,Free
Proteins: Biology's Workforce,"Protein is found in virtually every part of your body. At least 10,000 different proteins make you what you are and keep you that way. 

 In this biology course you will learn how proteins drive ...",In Session,Free
Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,"Educators have an ever-increasing stream of data at their fingertips, but knowing&nbsp; how &nbsp;to use this data to improve learning and teaching — how to make it less overwhelming, more useful, ...",In Session,Free
Supply Chain Dynamics,"Supply Chains are complex systems involving multiple firms and organizations with different goals and objectives.&nbsp;Additionally, there are external forces and trends that can impact (positively...",Upcoming,Free
